titulo,titulo_original,url_imagen,fecha_estreno,sinopsis
Oso vicioso,Cocaine Bear,https://m.media-amazon.com/images/M/MV5BODAwZDQ5ZjEtZDI1My00MTFiLTg0ZjUtOGE2YTBkOTdjODFhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg, 2023-04-05,"Cuenta la historia de un narcotraficante cuyo avión se estrella con un cargamento de cocaína que es encontrada por un oso negro, quien se la come."
Air," ""Air""",https://m.media-amazon.com/images/M/MV5BMjZjNmJkYjItZjBiYS00MGI5LWFkM2YtMWQ0YjZmNTI0YTY3XkEyXkFqcGdeQXVyMTUzMTQ0NzQz._V1_.jpg, 2023-04-05,"Sigue la historia del vendedor de calzado Sonny Vaccaro, y cómo él llevó a Nike en su búsqueda del mejor atleta en la historia del baloncesto: Michael Jordan."
Suzume,Suzume no tojimari,https://m.media-amazon.com/images/M/MV5BNGVkNDc3NjUtNTY5ZS00ZmE0LWE3YzctMDk2OTRlNTdiZWQwXkEyXkFqcGdeQXVyMTU3NDg0OTgx._V1_FMjpg_UX1000_.jpg,14/04/2023,Una historia moderna de acción y aventuras en la que una chica de 17 años llamada Suzume ayuda a un misterioso joven a cerrar puertas desde el exterior que están provocando desastres por todo Japón.
Posesión Infernal: El despertar,Evil Dead Rise,https://lh3.googleusercontent.com/pw/AL9nZEXCbyAibvSvpxlVlMSW-5qxc8iAQYHPcdEYn1SurYiSj5YH9ztqp7GJ_cWmAe01ccwGh9m0L0x0dUQlOkCFlSVMCnhcvnKk71qz0hAdjqyla0Z1Bn_339e7BCCb_8R3aipglYGIyD7CLNOiHfxGRicP5w=w423-h528-no?authuser=0, 2023-04-21,"Beth visita a su hermana mayor, Ella, que está criando a 3 niños en un pequeño apartamento en Los Ángeles. Su reunión es muy corta cuando encuentran un libro demoníaco, The Necronomicon Ex-Mortis."
El libro de las maravillas,La chambre des merveilles,https://m.media-amazon.com/images/M/MV5BMTljNWIzMTYtYTc4NC00YWQwLTk4MTctMzExYWMxYzQ4YmJkXkEyXkFqcGdeQXVyMTYzMTY3OTE3._V1_FMjpg_UX1000_.jpg, 2023-04-21,"Una madre encuentra el diario de su hijo en coma, el cual tiene una lista de 10 cosas por hacer antes del fin del mundo. Ella empieza a realizar cada una de las cosas listadas, con la esperanza de que su hijo regrese y aprecie lo hermoso que es la vida."
Sisu,Sisu,https://m.media-amazon.com/images/M/MV5BNzA5MmNkYWYtYTdkYi00OTg5LWEzNDAtMmVhZTBiMDRjYjg1XkEyXkFqcGdeQXVyMTg2NjYzOA@@._V1_FMjpg_UX1000_.jpg, 2023-04-28,"En el desierto de Laponia, un soldado retirado descubre oro. Ahora intenta traer su botín a la ciudad y debe enfrentarse a un grupo de soldados nazis que harán todo lo posible para truncar sus planes."
El cazador de recompensas,Dead for a Dollar,https://m.media-amazon.com/images/M/MV5BYTAyMmM4ZmYtZGZhMi00YmY3LTgyOWMtMjA0NGVkODMwNzA5XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_FMjpg_UX1000_.jpg,05/05/2023,"Sigue a un famoso cazarrecompensas que se encuentra con su enemigo jurado, un jugador profesional y forajido que había enviado a prisión años antes."
Love Again,Love Again,https://m.media-amazon.com/images/M/MV5BODc0ZDM3MjgtNDA5ZC00MWUwLWJmM2ItMjBmM2YzMjBmNzRkXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg,12/05/2023,Una joven mujer trata de mitigar el dolor por la muerte de su prometido enviando mensajes de texto al número telefónico que tenía su novio y establece una relación con la persona a la que le asignaron el número.
¡Tiburón a la vista!,L'année du requin,https://m.media-amazon.com/images/M/MV5BYWQ3ZDc0ZWUtYzgzZS00MDBkLWE5NmEtMDNkNDJiZTcxNTE1XkEyXkFqcGdeQXVyMjAzMTYzMzM@._V1_FMjpg_UX1000_.jpg,19/05/2023,En un pequeño pueblo de la costa de Francia desaparece un buceador y pronto la verdad se revela: un tiburón acecha la playa.
Kepler Sexto B,Kepler Sexto B,https://m.media-amazon.com/images/M/MV5BNDI5YzhkNTYtZDI5Ni00NWZiLTlhOWMtZTRhN2Y1Y2NkYzU4XkEyXkFqcGdeQXVyMjMzODM0NjU@._V1_.jpg,10/06/2023,"Zaida vive con su padrastro, y su vecino Jonás, un viejo solitario, pasa sus días refugiado creyendo que su piso es una nave espacial en un planeta extraño. El casual encuentro entre ambos devendrá en una peculiar y especial relación."
